attendance,avg_assignment_score,participation,study_hours,assignments_submitted,quiz_score,project_score,previous_gpa,extra_activities,parental_involvement,performance
92,88,High,38,19,85,90,9.1,7,High,High
75,70,Medium,25,15,68,72,7.5,5,Medium,Medium
58,60,Low,12,10,55,60,6,3,Low,Low
85,80,High,35,18,82,88,8.8,8,High,High
67,65,Medium,20,13,64,70,7,5,Medium,Medium
90,92,High,42,20,95,96,9.7,9,High,High
50,55,Low,10,9,50,58,5.5,2,Low,Low
78,74,Medium,28,16,70,75,7.8,6,Medium,Medium
82,85,High,33,18,88,90,8.9,8,High,High
60,62,Low,15,11,58,65,6.3,4,Low,Low
94,90,High,40,19,93,92,9.4,9,High,High
72,68,Medium,22,14,66,70,7.2,5,Medium,Medium
88,85,High,36,17,89,87,8.7,8,High,High
55,58,Low,12,10,54,60,5.9,3,Low,Low
81,79,Medium,31,16,77,80,8.1,6,Medium,Medium
97,95,High,45,20,98,99,9.9,10,High,High
69,72,Medium,23,13,70,73,7.3,5,Medium,Medium
62,60,Low,18,12,59,65,6.2,4,Low,Low
84,86,High,34,18,85,88,8.6,8,High,High
77,73,Medium,27,15,74,78,7.7,6,Medium,Medium
